communities,ratio,relational_polarization_mean,relational_polarization_std,ideological_polarization_mean,ideological_polarization_std,avg_communities,actors
2,0.1,0.5346650444251974,0.004770242135481824,0.6754657082050582,0.18725116752716295,2.0,1000
2,0.15000000000000002,0.5369177745987436,0.005320462091903168,0.7264668860613598,0.200132290883448,2.0,1000
2,0.2,0.5365897457432145,0.0052220780753974745,0.6754657082050582,0.1872511675271629,2.0,1000
2,0.25,0.5361500038442274,0.0071307981682325085,0.6511261786040812,0.20494164050703434,2.0,1000
2,0.30000000000000004,0.5361045330515728,0.010631898216223625,0.6687316387854241,0.2504086751416546,2.0,1000
2,0.35,0.5308428953580939,0.007134132932662641,0.5078593791333702,0.10835399504919313,2.0,1000
2,0.4,0.32559642502175695,0.256788376363223,0.5134640945836699,0.17612873800652992,2.0,1000
2,0.45000000000000007,0.4642552780535909,0.15329447171875193,0.462342183267186,0.04819711744500339,2.0,1000
2,0.5,0.45692741738478376,0.15030102563018197,0.49911420725981426,0.0012169686008614068,2.0,1000
2,0.55,0.2693376449509716,0.2517719909917977,0.48980303379993384,0.03156603281470715,2.0,1000
2,0.6,0.3636970617408828,0.22932032657203355,0.4995094915089381,0.00042802839296785016,2.0,1000
4,0.1,0.5404985040998608,0.004625434263117535,0.7088557606272464,0.1620359224803068,4.0,1000
4,0.15000000000000002,0.5451256151200446,0.008005286752046209,0.7521047749675764,0.22858465925120156,4.0,1000
4,0.2,0.48387920417310815,0.15942690339812396,0.5148497950928309,0.18887430046119472,4.0,1000
4,0.25,0.5278971478732657,0.020286734876857757,0.5396937290091562,0.17633871282309532,4.0,1000
4,0.30000000000000004,0.37030296458708445,0.23034638544033878,0.45948593645500313,0.05122920393704792,4.0,1000
4,0.35,0.1350675933055627,0.20073131278716538,0.4899525525525526,0.03163252271397283,4.0,1000
4,0.4,0.3685043025917885,0.22486653856182423,0.4994000006684831,0.0007299112529553024,4.0,1000
4,0.45000000000000007,0.2779848013750058,0.2450021723540471,0.4996963771432772,0.00036356843235218697,4.0,1000
4,0.5,0.18662565077513169,0.22225489780521948,0.4998201001001001,0.0003323918805267792,4.0,1000
4,0.55,0.28027284160155574,0.24128846702034515,0.49935040404671627,0.0012258820662020703,4.0,1000
4,0.6,0.04886326326326326,0.01717086940289058,0.3,0.2581988897471611,4.0,1000
8,0.1,0.5339842985563739,0.0152561002251651,0.5170753170203192,0.18585546448517867,8.0,1000
8,0.15000000000000002,0.5144128386670002,0.011153715670431528,0.4521655904984786,0.049677122842132306,8.0,1000
8,0.2,0.22900432274093485,0.23657601947372195,0.4997021104351136,0.00047778733014722247,8.0,1000
8,0.25,0.28708138604973465,0.24743831350626172,0.4998060768806451,0.00026821419313097396,8.0,1000
8,0.30000000000000004,0.1509839200609228,0.19331629475145257,0.49992000000000003,0.00016865480854231187,8.0,1000
8,0.35,0.336248782691362,0.2326674571203412,0.4996701001001001,0.00032992584359744636,8.0,1000
8,0.4,0.2436911227316795,0.23805853935611354,0.44957281754302547,0.15796562399954583,8.0,1000
8,0.45000000000000007,0.16490935718285116,0.2041509266178022,0.34989247553268,0.24144897436182677,8.0,1000
8,0.5,0.1561882754469284,0.19734125175747505,0.24985999999999997,0.2633757273891765,8.0,1000
8,0.55,0.1701431217703911,0.19128200205196397,0.3498200800800801,0.24139905993737248,8.0,1000
8,0.6,0.12053639116100756,0.14480604417035803,0.24993333333333334,0.2634529404881484,8.0,1000
