communities,ratio,relational_polarization_mean,relational_polarization_std,ideological_polarization_mean,ideological_polarization_std,avg_communities,actors
2,0.1,0.5372991568810661,0.004932215906306925,0.7008051666487465,0.19052899129151038,2.0,500
2,0.15000000000000002,0.5393356968289458,0.005809304969705596,0.7094656716784806,0.2075651133247997,2.0,500
2,0.2,0.5133576058959535,0.11538935081670328,0.6572149548456131,0.2254526464349289,2.0,500
2,0.25,0.5064048131142125,0.11357369475750935,0.5540657744825067,0.18094391782533,2.0,500
2,0.30000000000000004,0.42435221593974326,0.2032264641966525,0.4342815726070235,0.04456782735864724,2.0,500
2,0.35,0.1998492679231561,0.23711938719995318,0.4910614143247716,0.026688392358629985,2.0,500
2,0.4,0.2485149608858562,0.24472285220078957,0.49939838796687175,0.0008989126186488202,2.0,500
2,0.45000000000000007,0.22784458209364838,0.24117247500404518,0.49968,0.000402099751960053,2.0,500
2,0.5,0.15844569860297056,0.21243403170199324,0.4998,0.0003554093266554706,2.0,500
2,0.55,0.11533796112573211,0.17396848105817783,0.4998801874783627,0.0002926210001480156,2.0,500
2,0.6,0.1451179440744415,0.19634022361274375,0.49980630411027616,0.0004194025644927869,2.0,500
4,0.1,0.544564828855674,0.0063226687288446305,0.7161934463376913,0.2037752294860116,4.0,500
4,0.15000000000000002,0.49181282905846924,0.1580936869585928,0.5644508239146726,0.1744255167072927,4.0,500
4,0.2,0.33110683777675765,0.24877722361776217,0.48019758525506545,0.057173182746163745,4.0,500
4,0.25,0.27789867338858765,0.24478228612555974,0.4894751705749144,0.03044208852638608,4.0,500
4,0.30000000000000004,0.28439529781107564,0.2458121409277025,0.49464772463506856,0.021990608670132694,4.0,500
4,0.35,0.14519750337744713,0.19197464068266862,0.4996816032064128,0.000907193031131484,4.0,500
4,0.4,0.12919686899867983,0.17143399858350247,0.49988,0.00029307803882603343,4.0,500
4,0.45000000000000007,0.1326093027013761,0.15891188338338946,0.4999193988265094,0.0002460438108682642,4.0,500
4,0.5,0.2425663801633094,0.22874561004344893,0.4996651403552924,0.0005525196944398795,4.0,500
4,0.55,0.129046230131459,0.14707586259791572,0.4249424105536678,0.18314905190862923,4.0,500
4,0.6,0.15603313113250847,0.14521957307231842,0.49995946561142734,0.00017876928075258127,4.0,500
8,0.1,0.5409512807714274,0.012735230086863522,0.4891537508124129,0.1467902901995873,8.0,500
8,0.15000000000000002,0.2848022170325052,0.2475056007593179,0.477893238906358,0.03957647899527958,8.0,500
8,0.2,0.2667422391448791,0.24152237574039795,0.49443696878034266,0.02213177711243194,8.0,500
8,0.25,0.20408839649646407,0.21725114427233685,0.4996150687212181,0.0006744332237631404,8.0,500
8,0.30000000000000004,0.1842161982550635,0.19251675349289252,0.499806036913491,0.00041927435082690434,8.0,500
8,0.35,0.14089768696720903,0.1437669925613484,0.47492,0.11178483844092256,8.0,500
8,0.4,0.15741620759533478,0.13933034744496006,0.49992000000000003,0.0002462348045004446,8.0,500
8,0.45000000000000007,0.17692988186140096,0.13459279055367815,0.44992,0.15386958798041658,8.0,500
8,0.5,0.18613903638096996,0.1470589161359734,0.42485,0.18310976719472194,8.0,500
8,0.55,0.23037020202544717,0.1631272402669256,0.3499989980361506,0.2350805000386364,8.0,500
8,0.6,0.3071067604615333,0.19813064401491717,0.32483273213896047,0.24455484190238103,8.0,500
